,title,totalPrice,unitPrice,huxing,size,orientations,house_style,floor,built_time,apartment_layout
0,砂子塘社区 1室1厅 49.8万,49.8万,单价11829元/平米,1室1厅,42.1平米,南,简装,中楼层(共5层),1997年建,板楼
1,王家冲精装两房，厨卫全明，采光充足，户型周正。,59.8万,单价8814元/平米,2室1厅,67.85平米,西,精装,中楼层(共7层),2006年建,板楼
2,急售，精装1房，山水花都，看房方便，交通方便。,43.6万,单价10399元/平米,1室1厅,41.93平米,南,精装,高楼层(共33层),2009年建,塔楼
3,树木岭 新城新世界 户型方正两房 居家装修 中间楼层,98.8万,单价11182元/平米,2室2厅,88.36平米,西南,精装,中楼层(共18层),2013年建,板塔结合
4,无费，急售好房，钥匙在手，随时看房，枫树山好房,135万,单价11345元/平米,3室2厅,119平米,南 西北,简装,高楼层(共17层),2008年建,板楼
5,瑞宁花园精装修两房 朝南采光足 随时看房,102万,单价11922元/平米,2室1厅,85.56平米,南,精装,低楼层(共29层),2008年建,塔楼
6,书香名邸 精装三房 南北通透 可拎包入住,162万,单价11018元/平米,3室2厅,147.04平米,南 北,精装,中楼层(共11层),2006年建,板楼
7,公务员小区，周正两房，中间楼层视野好,97.9万,单价10627元/平米,2室2厅,92.13平米,东南,精装,中楼层(共18层),2009年建,板楼
8,精装小两房，全套家具家电，拎包入住,63万,单价12400元/平米,2室1厅,50.81平米,南,精装,高楼层(共26层),2013年建,塔楼
9,地铁口精装公寓房 天然气入户 朝南采光好 可看房,38万,单价10463元/平米,1室1厅,36.32平米,南 北,精装,32层,2013年建,板塔结合
10,赤岗岭 花园小区 电梯三房两厅 毛坯可自行装修,132万,单价10289元/平米,3室2厅,128.3平米,南 北,毛坯,高楼层(共18层),2006年建,板楼
11,省直公务员小区 大三房 小区中间位置,123万,单价8767元/平米,3室1厅,140.31平米,南 北,简装,低楼层(共27层),2009年建,塔楼
12,马王堆商圈 左岸右岸 交通方便 格局好 正地铁口,90万,单价8327元/平米,2室2厅,108.09平米,南,精装,低楼层(共24层),2009年建,塔楼
13,上海城朝东正规一室一厅 视野采光好 户型周正,52万,单价9877元/平米,2室1厅,52.65平米,东,简装,中楼层(共33层),2006年建,塔楼
14,五矿万境水岸 精装修小三房 环境优美,130万,单价14466元/平米,3室2厅,89.87平米,南 北,精装,低楼层(共34层),2013年建,板塔结合
15,武广新城，星城映象 中间位置2房，随时看房，房东诚心,93万,单价11312元/平米,2室1厅,82.22平米,南,精装,低楼层(共17层),2010年建,板塔结合
